product_category_id,factor_id,micro_id,coefficient
12,5,26,1.0
12,8,26,1.0
15,6,26,1.05
15,5,26,1.05
15,2,26,1.1
15,8,26,1.05
15,4,26,1.1
16,6,26,1.85
16,3,26,1.25
17,5,26,1.15
17,6,26,1.2
18,6,26,1.15
18,3,26,1.25
18,5,26,1.05
19,6,26,1.05
19,7,26,1.05
22,8,26,1.1
22,5,26,1.05
22,6,26,1.1
22,4,26,1.1
23,6,26,1.95
23,5,26,1.05
29,2,26,1.25
29,6,26,1.25
29,3,26,1.2
29,8,26,1.25
29,7,26,1.2
29,5,26,1.25
30,6,26,1.1
30,7,26,1.1
30,2,26,1.1
30,5,26,1.2
30,3,26,1.1
32,6,26,1.0
32,2,26,1.0
32,5,26,1.0
47,6,26,1.0
