product_category_id,factor_id,micro_id,coefficient
12,5,30,1.0
12,8,30,1.0
15,6,30,1.05
15,5,30,1.05
15,2,30,1.1
15,8,30,1.05
15,4,30,1.1
16,6,30,1.85
16,3,30,1.25
17,5,30,1.15
17,6,30,1.2
18,6,30,1.15
18,3,30,1.25
18,5,30,1.05
19,6,30,1.05
19,7,30,1.05
22,8,30,1.1
22,5,30,1.05
22,6,30,1.1
22,4,30,1.1
23,6,30,1.95
23,5,30,1.05
29,2,30,1.25
29,6,30,1.25
29,3,30,1.2
29,8,30,1.25
29,7,30,1.2
29,5,30,1.25
30,6,30,1.1
30,7,30,1.1
30,2,30,1.1
30,5,30,1.2
30,3,30,1.1
32,6,30,1.0
32,2,30,1.0
32,5,30,1.0
47,6,30,1.0
